Timestamp;pernah;install;jarak
2018/10/19 3:14:31 PM GMT+7;Ya;Sudah;1
2018/10/19 3:14:35 PM GMT+7;Ya;Sudah;6
2018/10/19 3:14:35 PM GMT+7;Ya;Sudah;30
2018/10/19 3:14:44 PM GMT+7;Ya;Sudah;4
2018/10/19 3:14:44 PM GMT+7;Ya;Sudah;27
2018/10/19 3:14:51 PM GMT+7;Ya;Sudah;5
2018/10/19 3:14:54 PM GMT+7;Ya;Sudah;5
2018/10/19 3:14:54 PM GMT+7;Ya;Sudah;20
2018/10/19 3:15:15 PM GMT+7;Ya;Sudah;15
2018/10/19 3:15:15 PM GMT+7;Ya;Sudah;30
2018/10/19 3:15:22 PM GMT+7;Ya;Sudah;15
2018/10/19 3:15:23 PM GMT+7;Ya;Sudah;33
2018/10/19 3:15:26 PM GMT+7;Ya;Sudah;2
2018/10/19 3:15:26 PM GMT+7;Tidak;Sudah;13
2018/10/19 3:15:34 PM GMT+7;Ya;Sudah;13
2018/10/19 3:15:40 PM GMT+7;Ya;Sudah;2
2018/10/19 3:15:44 PM GMT+7;Ya;Sudah;11
2018/10/19 3:15:52 PM GMT+7;Tidak;Sudah;1
2018/10/19 3:15:52 PM GMT+7;Ya;Sudah;5
2018/10/19 3:15:52 PM GMT+7;Ya;Sudah;1
2018/10/19 3:16:08 PM GMT+7;Ya;Sudah;98
2018/10/19 3:16:12 PM GMT+7;Ya;Sudah;60
2018/10/19 3:16:15 PM GMT+7;Ya;Sudah;45
2018/10/19 3:16:25 PM GMT+7;Ya;Sudah;20
2018/10/19 3:16:28 PM GMT+7;Ya;Sudah;1
2018/10/19 3:16:38 PM GMT+7;Ya;Sudah;55
2018/10/19 3:16:45 PM GMT+7;Ya;Sudah;12
2018/10/19 3:16:50 PM GMT+7;Ya;Sudah;32
2018/10/19 3:17:04 PM GMT+7;Ya;Sudah;3
2018/10/19 3:17:06 PM GMT+7;Ya;Sudah;10
2018/10/19 3:17:08 PM GMT+7;Ya;Sudah;25
2018/10/19 3:17:22 PM GMT+7;Ya;Sudah;15
2018/10/19 3:17:49 PM GMT+7;Ya;Sudah;30
2018/10/19 3:18:04 PM GMT+7;Ya;Sudah;12
2018/10/19 3:18:21 PM GMT+7;Ya;Sudah;2
2018/10/19 3:18:41 PM GMT+7;Ya;Sudah;5
2018/10/19 3:18:51 PM GMT+7;Ya;Sudah;32
2018/10/19 3:19:34 PM GMT+7;Ya;Sudah;2
2018/10/19 3:21:59 PM GMT+7;Ya;Sudah;44
2018/10/19 3:24:59 PM GMT+7;Ya;Sudah;2
