Kota Harga Eceran;2011;2012;2013;2014;2015;2016
Banda Aceh;8247.31;8606.16;9075.62;9330.47;9735.41;10244.09
Medan;7725.61;8601.97;9171.82;9574.73;10146.74;10547.87
Padang;9878.17;9620.26;9558.5;11712.5;12258.02;12789.53
Pekanbaru;9600.82;9601.14;9886.08;11171.72;11711.67;12270.42
Tanjung Pinang;8031.48;9786.41;10321.85;11365.26;12424.87;10573.25
Jambi;7631.13;8710;9159.88;9683.54;10335.91;9644.11
Palembang;7643.67;8407.4;8676.74;8876.55;9644.3;10370.57
Pangkal Pinang;7667.32;8898.21;9291.09;9528.82;10751.58;9966.58
Bengkulu;7556.16;8116.5;8401.98;9696.08;10419.91;11416.46
Bandar Lampung;10574.74;8754.79;8974.06;9817.36;10200.47;13767.38
Jakarta;9929.83;9037.23;9447.22;10027.05;11732.98;12413.75
Bandung;7639.1;8405.67;8571.61;9018.31;10695.56;11231.04
Serang;7761.37;7708.31;7931.05;8151.26;9151.21;10379.4
Semarang;7183.22;8398.18;8791.97;9187.41;9902.22;9872.4
Yogyakarta;7798.9;7902.48;8383.1;9062.1;9771.84;10249.07
Surabaya;6493.79;8335.03;8794.77;9209.61;10132.2;9553.36
Denpasar;8332.57;8647.23;9044.05;9315.86;10378.28;10580.99
Mataram;6609.87;7704.52;7776.14;8576.47;9608;9720.53
Kupang;8058.16;8435.67;8921.7;9127.71;9999.64;11084.87
Pontianak;9116.78;9828.72;10326.79;10814.36;12012.61;12477.2
Palangkaraya;10882.96;11006.28;10742.08;12421.42;14727.73;13813.61
Banjarmasin;9343.89;10127.24;9960.22;11272.31;12533.07;12910.9
Samarinda;8056.5;9053.94;9563.21;11088.35;11429.31;11248.34
Manado;7677.71;8706.13;8901.29;9223.42;10470.17;11665.84
Gorontalo;7014.97;8237.56;8398;8620.03;9362.14;10358.26
Palu;6503.52;7958.49;7949.16;8266.71;9446.11;9924.58
Makassar;6706.13;7501.46;7565.25;7690.31;9040.99;10666.58
Mamuju;7613.73;7489.85;7876.03;8107.55;8826.79;10773.81
Kendari;6889.85;8186.44;8283.12;8446.03;9937.78;9551.98
Ambon;8394.32;8981.29;9381.29;10292.05;11440.15;11818.78
Ternate;8785.25;9462.62;9757;10447.98;11727.36;12030.75
Jayapura;7551.39;10205.05;10325.14;11295.57;12393.81;12376.07
Manokwari;9284.97;9137.3;10013.37;10686.52;11188.78;12965.26
